,0,1,2,3,4,5,6,7,8,9,10,11,12
GOMF_1_4_ALPHA_OLIGOGLUCAN_PHOSPHORYLASE_ACTIVITY3,-0.1424041918283176,0.6237520636943625,-0.2726392507184595,-0.440198237531797,0.6021875916282797,0.0375153517433727,-0.5254393731705561,0.0978592949586525,-0.4955684420151483,-0.3712971794922227,0.1141405363794332,-0.2006518071177893,-0.2924343618311292
GOMF_1_ACYLGLYCEROPHOSPHOCHOLINE_O_ACYLTRANSFERASE_ACTIVITY4,-0.3050398394873778,-0.3105923702432394,0.7955135495500448,0.0957661562002712,-0.1599882892087843,-0.3701272889336761,0.0960842653025706,-0.3104298815382158,0.5682744741826377,0.4758391631334746,0.9175118309788814,0.5031012689197917,-0.1288301077918427
GOMF_1_ALKYL_2_ACETYLGLYCEROPHOSPHOCHOLINE_ESTERASE_ACTIVITY5,-0.2030683491804166,-0.2757699492866373,1.0938932893794535,-0.1176248128335275,-0.2955957006892776,-0.2284079478494304,-0.137403446465147,-0.2109519605920717,0.3369644255471055,-0.0855254962904461,0.2237480502277135,0.3318985899248949,-0.1593074841882157
GOMF_2_ACYLGLYCEROL_O_ACYLTRANSFERASE_ACTIVITY13,0.6499796990412309,0.7526996197767301,-0.7737761552226325,-0.622153549065609,0.6318205674741268,0.2213787128021331,-0.830459127149726,-0.1207418547573742,-0.8252861883672316,-0.8308424530214558,-0.6662359861844855,-0.8923701636286274,-1.0410532546345652
GOMF_2_IRON_2_SULFUR_CLUSTER_BINDING14,0.0708830169299205,0.0416551193520719,-0.0926255843090234,-0.0573384447411648,0.2815305871392595,-0.0416790887055785,-0.23455656511161,0.0513846081997583,-0.3006316078929468,-0.2530076430315985,-0.2660260758863591,0.3412946496483815,-0.2570241242406814
GOMF_3_5_DNA_HELICASE_ACTIVITY19,-0.3004053545794344,-0.3031865872475036,-0.2426772559860535,1.159649386676713,-0.3023626318547477,-0.3523132560213495,0.8018619370089923,-0.290002443364669,0.7997343766798147,-0.2953915097222531,-0.3495664976984919,-0.1518470261960741,1.181705067684805
GOMF_3_BETA_HYDROXY_DELTA5_STEROID_DEHYDROGENASE_ACTIVITY22,-0.0779188641602872,0.4949790984545032,-0.3024930532982075,-0.1972109367786224,0.5018445874356688,-0.1302900878482359,-0.2580844213030788,0.0392536119305253,-0.315124875584194,-0.3034921350964256,-0.3030179141331489,-0.3679456624868374,-0.2726708699928347
GOMF_3_HYDROXYACYL_COA_DEHYDROGENASE_ACTIVITY25,0.6076631992128375,0.334510720982708,-1.0031694881527495,-0.0185140343637076,0.2037293153401842,0.1458258586076556,0.1671928525209205,-0.1128277254259627,-0.3502470081548495,-0.8312557979067811,-0.5834556402171263,-0.7357477417902367,-0.8258565920541516
GOMF_3_PHOSPHOADENOSINE_5_PHOSPHOSULFATE_BINDING26,0.4388338200436114,0.6469059107287518,-0.8436106273989306,-0.834895114432335,0.4949632014604989,0.7700423409878369,-0.851062342061792,0.5508674177057963,-0.8721580508726574,-0.7991369655945636,-0.3705285270406346,-0.9054025971333256,-1.2572299354373322
GOMF_4_GALACTOSYL_N_ACETYLGLUCOSAMINIDE_3_ALPHA_L_FUCOSYLTRANSFERASE_ACTIVITY27,-0.1457362783415806,0.1122234484277874,0.5541694271128597,-0.1160577530748082,0.1348722117283365,-0.1238893275116376,-0.2366804423568424,-0.448069351322612,-0.0839151845051379,-0.3019710490113564,-0.2137904062700657,-0.3516459595195725,-0.5006298961510744
GOMF_5S_RRNA_BINDING30,-0.0919317139725056,-0.8192645837239735,-1.2218309117709076,1.6523424775115385,-0.3840584627261942,-0.1060523334692945,2.254102155669636,-0.5081723932836658,1.1628181962909747,0.1390301559886659,-0.1196000686394451,0.0669704060899983,1.4424811253005785
GOMF_ACETYL_COA_C_ACYLTRANSFERASE_ACTIVITY49,0.7281483098468264,0.5059774225149705,-0.920753132285763,-0.591699312173709,0.1504454424237872,0.6369153279734943,-0.4088294475238113,0.1697180817734,-0.6721509104131773,-0.9514232087908618,-0.1302693415929479,-1.1172370880860745,-1.0072660037228964
GOMF_ACETYLCHOLINE_RECEPTOR_ACTIVITY42,-0.0194959727839741,-0.1297535304230078,0.5405240887359929,-0.1982065027905716,-0.1147135377492926,0.0031248524889275,-0.0898072711162807,-0.2283806726375045,0.4313715796065768,-0.2618073415877507,-0.0783562106306253,-0.0676421059856485,-0.221670112411072
GOMF_ACETYLESTERASE_ACTIVITY45,0.038625741976803,-0.0420406139249116,0.8052479085049599,-0.2283377521237793,-0.268546005407633,-0.0913848643516314,-0.2305249703734375,-0.2917097067942245,-0.0969632521638225,-0.326910669209997,-0.0643073473339737,0.0496244430525768,-0.518307218877861
GOMF_ACETYLGALACTOSAMINYLTRANSFERASE_ACTIVITY46,-0.2130734017076671,-0.4094654669214081,1.8872466136382129,-0.2147166988991962,-0.4375024027499039,-0.4720290053443117,-0.3164632976992031,-0.4834636909958201,0.8772929097729129,-0.3239400386440904,-0.3936382962583614,-0.3420906447201471,-0.4110987195794235
GOMF_ACID_THIOL_LIGASE_ACTIVITY53,0.6520667210085989,0.6268996149987445,-1.4136443421695422,-0.2196083848710629,0.2898773654120999,0.4251084345970851,-0.1195009929222674,0.2311357175114254,-0.7181164091753359,-0.5518344362258549,-0.8140565675686461,-0.8805759210833285,-0.7270380717994266
GOMF_ACTIN_FILAMENT_BINDING57,1.143317225300265,1.6532057393650266,-0.8695412791966262,-2.382766080712416,1.454363286238493,1.2058621979452446,-2.821827616436025,0.8669630807803059,-2.4218885461725104,-1.461955551405996,-1.0979605763473346,-2.274155116835646,-7.383182535826117
GOMF_ACTIVE_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY59,2.737303140195752,1.9070305033472348,-3.6277234021125055,-1.6407801721456912,1.0824015023497888,1.7014281544812342,-1.956044212913494,0.4917962012624187,-3.016031308104556,-3.1007289749154374,-1.823999246718492,-2.5416147757459155,-3.300184685028859
GOMF_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY60,3.209844990652332,2.700186529336277,-5.093789434992344,-1.7836600063327026,1.7720433891255658,1.93685550854234,-2.235786215762569,0.7112789406239288,-3.7542705268765113,-4.294799506292764,-2.6329645461152404,-3.4043718477093736,-4.770708163399178
GOMF_ACYL_COA_OXIDASE_ACTIVITY71,0.5739624665523726,0.448739861186449,-0.588721344072693,-0.6861911355049294,0.2340157614730982,0.5889862532585137,-0.7471453922833833,0.3123335106741243,-0.7615931426461243,-0.8110541863505714,-0.1554624819030863,-0.5816098473188405,-0.966278454337028
GOMF_ACYLGLYCEROL_LIPASE_ACTIVITY65,0.0623185940149557,-0.8204954900737289,1.7448486306225204,-0.2210136871996224,-0.6092458020276948,-0.0567255401182109,-0.1238204074966734,-0.4472669491626139,0.1647022249822603,-0.1644689672473907,0.1928028702571931,0.2988516154278485,-0.2417577831058179
GOMF_ACYLGLYCEROL_O_ACYLTRANSFERASE_ACTIVITY66,1.0097956658762433,1.0169482985713594,-1.2076397177512754,-0.9954077481285248,0.7268385541922706,0.631369258588037,-1.1809255278814563,0.0867570094363999,-1.326720949862254,-1.2727776299340232,-0.9654638211920028,-1.2967257925520834,-1.5458170493039778
GOMF_ADENINE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY72,0.9149740809106336,0.2315675135030221,-0.9275352994175072,-0.2532072070507264,-0.2151579021760508,0.6620843986807567,-0.1867326237244811,0.2873219797493135,-0.6865066760612071,-0.880908947030889,-0.9420322473650456,-1.2847373318279112,-1.1789821780682546
GOMF_ADENYLATE_CYCLASE_REGULATOR_ACTIVITY78,-0.259436196669759,-0.5299183844248533,1.22971617940732,-0.2069220635363542,-0.5310696956882301,0.0138104663184503,-0.0563956250602582,-0.1693089588794299,0.002230538176911,0.4987504900378919,0.2565652036419867,2.161431888154036,1.85992826411876
GOMF_ADP_D_RIBOSE_MODIFICATION_DEPENDENT_PROTEIN_BINDING84,-0.0011198129058458,0.0070519998480262,-0.0994043343590197,0.1321341687378636,-0.111692306311224,-0.0938187620252938,0.2425070393588806,-0.1058908020919733,0.0540735304082265,0.5559184791113657,-0.0604440292655778,0.1900675579226789,-0.3134549858215932
GOMF_ADP_PHOSPHATASE_ACTIVITY85,-0.1359925030708005,-0.1379998226736551,0.7508860275426223,0.0677431097447323,-0.24519494802811,-0.3111949818809268,-0.0066702911979441,-0.2769320914491357,0.5802077056833155,-0.2910513852801041,-0.0832135993997293,-0.1159115634832109,-0.4522851915545518
