,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
GOBP_2FE_2S_CLUSTER_ASSEMBLY2,0.0370346274282452,0.02030501822214,0.0126613401679708,0.0321583457348899,-0.0698048103719564,0.1228917734994913,-0.098486778737169,-0.1273132978300343,-0.0759072140563753,-0.0503321467020532,-0.0580264659337026,0.0451854402223038,-0.0824477226194442,-0.1356956893233176,-0.145469117529269
GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION5,-1.076953797116235,-1.1258239899353235,0.0855169761383061,2.8421790015242725,0.1902189586394285,-1.1639726035576166,0.3662179839175148,1.2697826308515376,-0.4972681079535615,1.075205343614159,0.4534051940530735,-0.0155282491062579,1.0764280237799932,-0.3116703635033546,-1.44418799315022
GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION6,-0.7396047209573621,-0.7552589519175453,0.0934139150631066,2.061141438612428,-0.3536619564976519,-0.814505734181802,-0.0932376237444504,1.6910405483688036,-0.6997986842559443,0.3570873742611872,1.1573027405735086,0.0922700978422579,1.173314720567488,-0.3673377156947849,-1.08947850063691
GOBP_5_PHOSPHORIBOSE_1_DIPHOSPHATE_METABOLIC_PROCESS9,1.046045722642544,0.7851254518248032,0.6814739802264403,-0.9297634291620976,-1.563879810944771,0.7271475035795484,-1.0526848109928892,-0.9525958033349324,-1.5216887371072227,-1.3511909324689595,-0.4113645248108974,0.361622207853547,-1.0201018822893286,0.4428996117097202,-1.7125501084214505
GOBP_ACETATE_ESTER_TRANSPORT14,-0.1513490064183118,-0.060893412033174,-0.0837964027574866,-0.119413552511497,-0.2250521142785871,-0.1204398229587158,-0.1955118241174772,-0.1040862587435539,2.787125821243819,1.6028925575845077,-0.1376816901912245,0.0195733770356125,-0.1569932874395636,-0.1579827559692992,-0.0342670263062741
GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS_FROM_PYRUVATE17,0.6092363001005927,0.560247863247057,0.6395213653961709,0.0328580097160704,-1.4284991886471734,0.3415189930818747,-0.949536128306904,-0.7055137254713294,-1.4735346446509618,-1.0721618293116644,-0.3065772891902412,0.273627487226657,-0.8250015894844359,0.1983426164443441,-1.687283902996373
GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS16,0.6769960488422431,0.5971760018067457,0.624048172792149,0.0019828098663878,-1.4754473612696857,0.3661735359982446,-0.982979582615084,-0.7466383781436122,-1.6955831447130034,-1.0923377331938289,-0.2879468355738677,0.2449507302184903,-0.7780537008825442,0.1993832492405096,-1.6487480906685952
GOBP_ACETYL_COA_METABOLIC_PROCESS18,0.7347513099843076,0.6474129550859066,0.620869638270686,0.0099110803743507,-1.4718856374620417,0.4003696726493969,-0.9856862778749336,-0.7302965454026201,-2.1706713602465064,-1.3678960442087111,-0.3310945435229671,0.2026235633964924,-0.803045721255826,0.2329732721883929,-1.8787986376935768
GOBP_ACINAR_CELL_DIFFERENTIATION21,-0.2140010838190016,-0.2241947287744067,0.1038949901708232,0.1751877304501524,-0.0354549681036565,-0.2219696370555659,0.1020590116874871,0.879823187326738,0.0683185636819785,0.1165639850424074,0.3296648714494775,0.1164907060109512,0.1116968679642255,-0.072281404591547,-0.3616760421520124
GOBP_ACTIN_CROSSLINK_FORMATION25,-0.6277145213729992,-0.6358834250244522,-0.2607949977537477,0.5254664692776385,0.0852791343402178,-0.5614770617129783,3.060080557950908,0.1526451100645462,0.62650167872083,0.914378690235751,0.9896323978428267,-0.1446950348377521,0.2929497481935572,-0.325324352340021,0.1477835515161703
