"",Z,M,highest,fe,Gene,Specificity,Precision,ExpressionFraction
FTH1,13.6783982709251,1.24582545013342,TRUE,1,FTH1,0.0644852659778033,0.0153071500503525,1
GUCA2A,12.8599805692971,2.28251315944007,FALSE,0.973684210526316,GUCA2A,0.518553940321347,0.0285604013894249,0.973684210526316
S100A10,12.4425557279968,0.990409270356662,TRUE,0.986842105263158,S100A10,0.123206428161469,0.0161013310433663,0.986842105263158
IFI27,12.2416510010786,1.63826324100901,TRUE,0.973684210526316,IFI27,0.298967100229533,0.0197913880716769,0.973684210526316
PLAC8,11.9574986107317,2.23242038360918,TRUE,0.93421052631579,PLAC8,0.541387879946473,0.0287449392712551,0.93421052631579
ACTB,11.7711023473064,0.861893055578475,TRUE,0.973684210526316,ACTB,0.0740244835501148,0.0150559511698881,0.973684210526316
MYL12B,11.7186345388442,1.6130688660082,TRUE,0.93421052631579,MYL12B,0.291722424010705,0.0188029661016949,0.93421052631579
PRDX6,11.4216326911485,2.12709323896913,TRUE,0.894736842105263,PRDX6,0.387466564768819,0.0207697006719609,0.894736842105263
FABP1,11.3984628150851,1.06211792791964,TRUE,1,FABP1,0.115384615384615,0.0161736539689296,1
TMSB4X,11.2197701656944,0.654985945263325,FALSE,1,TMSB4X,0.0311902028319939,0.0147888694298502,1
TSPAN1,11.1304703684636,1.83331796488582,TRUE,0.921052631578947,TSPAN1,0.421253822629969,0.0225952227243383,0.921052631578947
LGALS3,11.085941089708,0.993791739185396,TRUE,0.986842105263158,LGALS3,0.163382437344557,0.0168615107913669,0.986842105263158
MYL6,10.3949866828281,0.744130039964838,TRUE,0.960526315789474,MYL6,0.0818512143813349,0.0149774312679524,0.960526315789474
GUCA2B,10.3041798920116,2.61119546581561,FALSE,0.828947368421053,GUCA2B,0.735827447986257,0.0435383552176918,0.828947368421053
MS4A12,10.2526742609707,2.55168042682471,TRUE,0.81578947368421,MS4A12,0.704389312977099,0.0384854127870888,0.81578947368421
TSPAN8,10.1812612895068,1.38676042413597,TRUE,0.907894736842105,TSPAN8,0.299254729600612,0.0184689507494647,0.907894736842105
B2M,9.8439634040197,0.813253598445115,FALSE,0.986842105263158,B2M,0.0742299598239908,0.0152625152625153,0.986842105263158
SRI,9.70236710992709,1.52320688470211,TRUE,0.855263157894737,SRI,0.333206033988925,0.0182738262580827,0.855263157894737
AQP8,9.65627522910455,2.38608809151398,TRUE,0.81578947368421,AQP8,0.748091603053435,0.044862518089725,0.81578947368421
SELENOP,9.63911784377706,2.67253611855513,TRUE,0.776315789473684,SELENOP,0.710471104329582,0.0374128091312619,0.776315789473684
SLC26A3,9.56860659466714,1.8905179858544,TRUE,0.855263157894737,SLC26A3,0.582203551651709,0.0288504216600089,0.855263157894737
CFL1,9.49388946200316,0.775540118042539,TRUE,0.907894736842105,CFL1,0.13510414676094,0.0150163220892274,0.907894736842105
KRT8,9.47126005718557,0.696258219436714,FALSE,0.986842105263158,KRT8,0.0931700784388751,0.0155763239875389,0.986842105263158
